ip,cidr,hostname,owner,note,status
10.0.100.148,10.0.100.0/24,monitor144-hq-dmz.corp.example.com,Security,Monitor server — Ubuntu 24.04 LTS,used
10.0.100.149,10.0.100.0/24,backup145-hq-dmz.corp.example.com,Security,Backup server — Patched 2026-03,used
10.0.100.150,10.0.100.0/24,ansible146-hq-dmz.corp.example.com,Security,Ansible server — HA pair node A,used
10.0.100.151,10.0.100.0/24,git147-hq-dmz.corp.example.com,Security,Git server — Ubuntu 24.04 LTS,used
10.0.100.152,10.0.100.0/24,ci148-hq-dmz.corp.example.com,Security,Ci server — Legacy system,used
10.0.100.153,10.0.100.0/24,artifact149-hq-dmz.corp.example.com,Security,Artifact server — Rebuilt 2026-01,used
10.0.100.154,10.0.100.0/24,vault150-hq-dmz.corp.example.com,Security,Vault server — New build,used
10.0.200.1,10.0.200.0/24,gw-hq-gst.corp.example.com,Network Ops,Default gateway — HQ Guest WiFi,reserved
10.0.200.2,10.0.200.0/24,dns1-hq-gst.corp.example.com,Network Ops,Primary DNS — HQ Guest WiFi,reserved
10.0.200.3,10.0.200.0/24,dns2-hq-gst.corp.example.com,Network Ops,Secondary DNS — HQ Guest WiFi,reserved
10.0.200.4,10.0.200.0/24,dhcp-hq-gst.corp.example.com,Network Ops,DHCP server — HQ Guest WiFi,reserved
10.0.200.5,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.6,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.7,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.8,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.9,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.10,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.11,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.12,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.13,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.14,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.15,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.16,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.17,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.18,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.19,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.20,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.21,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.22,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.23,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.24,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.25,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.26,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.27,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.28,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.29,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.30,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.31,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.32,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.33,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.34,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.35,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.36,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.37,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.38,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.39,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.40,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.41,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.42,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.43,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.44,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.45,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.46,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.47,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.48,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.49,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.50,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.51,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.52,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.53,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.54,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.55,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.56,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.57,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.58,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.59,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.60,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.61,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.62,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.63,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.64,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.65,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.66,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.67,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.68,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.69,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.70,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.71,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.72,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.73,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.74,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.75,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.76,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.77,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.78,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.79,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.80,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.81,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.82,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.83,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.84,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.85,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.86,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.87,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.88,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.89,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.90,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.91,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.92,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.93,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.94,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.95,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.96,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.97,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.98,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.99,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.100,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.101,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.102,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.200.103,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,used
10.0.200.104,10.0.200.0/24,,IT Infrastructure,Guest WiFi DHCP pool,free
10.0.201.1,10.0.201.0/24,gw-hq-cwifi.corp.example.com,Network Ops,Default gateway — HQ Corporate WiFi,reserved
10.0.201.2,10.0.201.0/24,dns1-hq-cwifi.corp.example.com,Network Ops,Primary DNS — HQ Corporate WiFi,reserved
10.0.201.3,10.0.201.0/24,dns2-hq-cwifi.corp.example.com,Network Ops,Secondary DNS — HQ Corporate WiFi,reserved
10.0.201.4,10.0.201.0/24,dhcp-hq-cwifi.corp.example.com,Network Ops,DHCP server — HQ Corporate WiFi,reserved
10.0.201.5,10.0.201.0/24,ws-hq-cwifi-004.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0004",used
10.0.201.6,10.0.201.0/24,ws-hq-cwifi-005.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0005",used
10.0.201.7,10.0.201.0/24,ws-hq-cwifi-006.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0006",used
10.0.201.8,10.0.201.0/24,ws-hq-cwifi-007.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0007",used
10.0.201.9,10.0.201.0/24,ws-hq-cwifi-008.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0008",used
10.0.201.10,10.0.201.0/24,ws-hq-cwifi-009.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0009",used
10.0.201.11,10.0.201.0/24,ws-hq-cwifi-010.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0010",used
10.0.201.12,10.0.201.0/24,ws-hq-cwifi-011.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0011",used
10.0.201.13,10.0.201.0/24,ws-hq-cwifi-012.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0012",used
10.0.201.14,10.0.201.0/24,ws-hq-cwifi-013.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0013",used
10.0.201.15,10.0.201.0/24,ws-hq-cwifi-014.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0014",used
10.0.201.16,10.0.201.0/24,ws-hq-cwifi-015.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0015",used
10.0.201.17,10.0.201.0/24,ws-hq-cwifi-016.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0016",used
10.0.201.18,10.0.201.0/24,ws-hq-cwifi-017.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0017",used
10.0.201.19,10.0.201.0/24,ws-hq-cwifi-018.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0018",used
10.0.201.20,10.0.201.0/24,ws-hq-cwifi-019.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0019",used
10.0.201.21,10.0.201.0/24,ws-hq-cwifi-020.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0020",used
10.0.201.22,10.0.201.0/24,ws-hq-cwifi-021.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0021",used
10.0.201.23,10.0.201.0/24,ws-hq-cwifi-022.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0022",used
10.0.201.24,10.0.201.0/24,ws-hq-cwifi-023.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0023",used
10.0.201.25,10.0.201.0/24,ws-hq-cwifi-024.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0024",used
10.0.201.26,10.0.201.0/24,ws-hq-cwifi-025.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0025",used
10.0.201.27,10.0.201.0/24,ws-hq-cwifi-026.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0026",used
10.0.201.28,10.0.201.0/24,ws-hq-cwifi-027.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0027",used
10.0.201.29,10.0.201.0/24,ws-hq-cwifi-028.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0028",used
10.0.201.30,10.0.201.0/24,ws-hq-cwifi-029.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0029",used
10.0.201.31,10.0.201.0/24,ws-hq-cwifi-030.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0030",used
10.0.201.32,10.0.201.0/24,ws-hq-cwifi-031.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0031",used
10.0.201.33,10.0.201.0/24,ws-hq-cwifi-032.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0032",used
10.0.201.34,10.0.201.0/24,ws-hq-cwifi-033.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0033",used
10.0.201.35,10.0.201.0/24,ws-hq-cwifi-034.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0034",used
10.0.201.36,10.0.201.0/24,ws-hq-cwifi-035.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0035",used
10.0.201.37,10.0.201.0/24,ws-hq-cwifi-036.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0036",used
10.0.201.38,10.0.201.0/24,ws-hq-cwifi-037.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0037",used
10.0.201.39,10.0.201.0/24,ws-hq-cwifi-038.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0038",used
10.0.201.40,10.0.201.0/24,ws-hq-cwifi-039.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0039",used
10.0.201.41,10.0.201.0/24,ws-hq-cwifi-040.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0040",used
10.0.201.42,10.0.201.0/24,ws-hq-cwifi-041.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0041",used
10.0.201.43,10.0.201.0/24,ws-hq-cwifi-042.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0042",used
10.0.201.44,10.0.201.0/24,ws-hq-cwifi-043.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0043",used
10.0.201.45,10.0.201.0/24,ws-hq-cwifi-044.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0044",used
10.0.201.46,10.0.201.0/24,ws-hq-cwifi-045.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0045",used
10.0.201.47,10.0.201.0/24,ws-hq-cwifi-046.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0046",used
10.0.201.48,10.0.201.0/24,ws-hq-cwifi-047.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0047",used
10.0.201.49,10.0.201.0/24,ws-hq-cwifi-048.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0048",used
10.0.201.50,10.0.201.0/24,ws-hq-cwifi-049.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0049",used
10.0.201.51,10.0.201.0/24,ws-hq-cwifi-050.corp.example.com,IT Infrastructure,"Workstation — R&D, assigned to user0050",used
10.0.201.52,10.0.201.0/24,ws-hq-cwifi-051.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0051",used
10.0.201.53,10.0.201.0/24,ws-hq-cwifi-052.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0052",used
10.0.201.54,10.0.201.0/24,ws-hq-cwifi-053.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0053",used
10.0.201.55,10.0.201.0/24,ws-hq-cwifi-054.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0054",used
10.0.201.56,10.0.201.0/24,ws-hq-cwifi-055.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0055",used
10.0.201.57,10.0.201.0/24,ws-hq-cwifi-056.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0056",used
10.0.201.58,10.0.201.0/24,ws-hq-cwifi-057.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0057",used
10.0.201.59,10.0.201.0/24,ws-hq-cwifi-058.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0058",used
10.0.201.60,10.0.201.0/24,ws-hq-cwifi-059.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0059",used
10.0.201.61,10.0.201.0/24,ws-hq-cwifi-060.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0060",used
10.0.201.62,10.0.201.0/24,ws-hq-cwifi-061.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0061",used
10.0.201.63,10.0.201.0/24,ws-hq-cwifi-062.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0062",used
10.0.201.64,10.0.201.0/24,ws-hq-cwifi-063.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0063",used
10.0.201.65,10.0.201.0/24,ws-hq-cwifi-064.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0064",used
10.0.201.66,10.0.201.0/24,ws-hq-cwifi-065.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0065",used
10.0.201.67,10.0.201.0/24,ws-hq-cwifi-066.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0066",used
10.0.201.68,10.0.201.0/24,ws-hq-cwifi-067.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0067",used
10.0.201.69,10.0.201.0/24,ws-hq-cwifi-068.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0068",used
10.0.201.70,10.0.201.0/24,ws-hq-cwifi-069.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0069",used
10.0.201.71,10.0.201.0/24,ws-hq-cwifi-070.corp.example.com,IT Infrastructure,"Workstation — R&D, assigned to user0070",used
10.0.201.72,10.0.201.0/24,ws-hq-cwifi-071.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0071",used
10.0.201.73,10.0.201.0/24,ws-hq-cwifi-072.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0072",used
10.0.201.74,10.0.201.0/24,ws-hq-cwifi-073.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0073",used
10.0.201.75,10.0.201.0/24,ws-hq-cwifi-074.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0074",used
10.0.201.76,10.0.201.0/24,ws-hq-cwifi-075.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0075",used
10.0.201.77,10.0.201.0/24,ws-hq-cwifi-076.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0076",used
10.0.201.78,10.0.201.0/24,ws-hq-cwifi-077.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0077",used
10.0.201.79,10.0.201.0/24,ws-hq-cwifi-078.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0078",used
10.0.201.80,10.0.201.0/24,ws-hq-cwifi-079.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0079",used
10.0.201.81,10.0.201.0/24,ws-hq-cwifi-080.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0080",used
10.0.201.82,10.0.201.0/24,ws-hq-cwifi-081.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0081",used
10.0.201.83,10.0.201.0/24,ws-hq-cwifi-082.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0082",used
10.0.201.84,10.0.201.0/24,ws-hq-cwifi-083.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0083",used
10.0.201.85,10.0.201.0/24,ws-hq-cwifi-084.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0084",used
10.0.201.86,10.0.201.0/24,ws-hq-cwifi-085.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0085",used
10.0.201.87,10.0.201.0/24,ws-hq-cwifi-086.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0086",used
10.0.201.88,10.0.201.0/24,ws-hq-cwifi-087.corp.example.com,IT Infrastructure,"Workstation — Facilities, assigned to user0087",used
10.0.201.89,10.0.201.0/24,ws-hq-cwifi-088.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0088",used
10.0.201.90,10.0.201.0/24,ws-hq-cwifi-089.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0089",used
10.0.201.91,10.0.201.0/24,ws-hq-cwifi-090.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0090",used
10.0.201.92,10.0.201.0/24,ws-hq-cwifi-091.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0091",used
10.0.201.93,10.0.201.0/24,ws-hq-cwifi-092.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0092",used
10.0.201.94,10.0.201.0/24,ws-hq-cwifi-093.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0093",used
10.0.201.95,10.0.201.0/24,ws-hq-cwifi-094.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0094",used
10.0.201.96,10.0.201.0/24,ws-hq-cwifi-095.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0095",used
10.0.201.97,10.0.201.0/24,ws-hq-cwifi-096.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0096",used
10.0.201.98,10.0.201.0/24,ws-hq-cwifi-097.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0097",used
10.0.201.99,10.0.201.0/24,ws-hq-cwifi-098.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0098",used
10.0.201.100,10.0.201.0/24,ws-hq-cwifi-099.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0099",used
10.0.201.101,10.0.201.0/24,ws-hq-cwifi-100.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0100",used
10.0.201.102,10.0.201.0/24,ws-hq-cwifi-101.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0101",used
10.0.201.103,10.0.201.0/24,ws-hq-cwifi-102.corp.example.com,IT Infrastructure,"Workstation — Legal, assigned to user0102",used
10.0.201.104,10.0.201.0/24,ws-hq-cwifi-103.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0103",used
10.0.201.105,10.0.201.0/24,ws-hq-cwifi-104.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0104",used
10.0.201.106,10.0.201.0/24,ws-hq-cwifi-105.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0105",used
10.0.201.107,10.0.201.0/24,ws-hq-cwifi-106.corp.example.com,IT Infrastructure,"Workstation — DevOps, assigned to user0106",used
10.0.201.108,10.0.201.0/24,ws-hq-cwifi-107.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0107",used
10.0.201.109,10.0.201.0/24,ws-hq-cwifi-108.corp.example.com,IT Infrastructure,"Workstation — R&D, assigned to user0108",used
10.0.201.110,10.0.201.0/24,ws-hq-cwifi-109.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0109",used
10.0.201.111,10.0.201.0/24,ws-hq-cwifi-110.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0110",used
10.0.201.112,10.0.201.0/24,ws-hq-cwifi-111.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0111",used
10.0.201.113,10.0.201.0/24,ws-hq-cwifi-112.corp.example.com,IT Infrastructure,"Workstation — IT Infrastructure, assigned to user0112",used
10.0.201.114,10.0.201.0/24,ws-hq-cwifi-113.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0113",used
10.0.201.115,10.0.201.0/24,ws-hq-cwifi-114.corp.example.com,IT Infrastructure,"Workstation — Security, assigned to user0114",used
10.0.201.116,10.0.201.0/24,ws-hq-cwifi-115.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0115",used
10.0.201.117,10.0.201.0/24,ws-hq-cwifi-116.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0116",used
10.0.201.118,10.0.201.0/24,ws-hq-cwifi-117.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0117",used
10.0.201.119,10.0.201.0/24,ws-hq-cwifi-118.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0118",used
10.0.201.120,10.0.201.0/24,ws-hq-cwifi-119.corp.example.com,IT Infrastructure,"Workstation — Marketing, assigned to user0119",used
10.0.201.121,10.0.201.0/24,ws-hq-cwifi-120.corp.example.com,IT Infrastructure,"Workstation — HR, assigned to user0120",used
10.0.201.122,10.0.201.0/24,ws-hq-cwifi-121.corp.example.com,IT Infrastructure,"Workstation — Compliance, assigned to user0121",used
10.0.201.123,10.0.201.0/24,ws-hq-cwifi-122.corp.example.com,IT Infrastructure,"Workstation — Executive, assigned to user0122",used
10.0.201.124,10.0.201.0/24,ws-hq-cwifi-123.corp.example.com,IT Infrastructure,"Workstation — Sales, assigned to user0123",used
10.0.201.125,10.0.201.0/24,ws-hq-cwifi-124.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0124",used
10.0.201.126,10.0.201.0/24,ws-hq-cwifi-125.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0125",used
10.0.201.127,10.0.201.0/24,ws-hq-cwifi-126.corp.example.com,IT Infrastructure,"Workstation — Network Ops, assigned to user0126",used
10.0.201.128,10.0.201.0/24,ws-hq-cwifi-127.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0127",used
10.0.201.129,10.0.201.0/24,ws-hq-cwifi-128.corp.example.com,IT Infrastructure,"Workstation — Helpdesk, assigned to user0128",used
10.0.201.130,10.0.201.0/24,ws-hq-cwifi-129.corp.example.com,IT Infrastructure,"Workstation — Finance, assigned to user0129",used
10.0.201.131,10.0.201.0/24,ws-hq-cwifi-130.corp.example.com,IT Infrastructure,"Workstation — Procurement, assigned to user0130",used
10.0.201.132,10.0.201.0/24,ws-hq-cwifi-131.corp.example.com,IT Infrastructure,"Workstation — R&D, assigned to user0131",used
